Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
cntWoodWritableCrateLarge,blocks,block,,,"Wood Storage Crate [ddcdfa](120)",,"Holz-Aufbewahrungskiste [ddcdfa](120)","Embalaje de almacenamiento de madera [ddcdfa](120)","Caisse de rangement en bois [ddcdfa](120)","Cassa di stoccaggio di legno [ddcdfa](120)","木製ストレージ [ddcdfa](120)","목재 보관함 [ddcdfa](120)","Skrzynia na towary – drewniana [ddcdfa](120)","Caixote de deposito de madeira [ddcdfa](120)","Деревянный складской ящик [ddcdfa](120)","Tahta Depolama Sandığı [ddcdfa](120)","木储藏箱 [ddcdfa](120)","木儲藏箱 [ddcdfa](120)"
cntWoodWritableCrateInsecureLarge,blocks,block,,,"Wood Storage Crate Insecure [ddcdfa](120)",,"Holz-Aufbewahrungskiste, unsicher [ddcdfa](120)","Embalaje de almacenamiento de madera no asegurado [ddcdfa](120)","Caisse de rangement en bois non sécurisée [ddcdfa](120)","Cassa di stoccaggio di legno pericolante [ddcdfa](120)","木製ストレージ　鍵無し [ddcdfa](120)","목재 보관함 잠기지 않음 [ddcdfa](120)","Skrzynia na towary – drewniana, niezabezpieczona [ddcdfa](120)","Caixote inseguro de deposito de madeira [ddcdfa](120)","Ненадежный деревянный складской ящик [ddcdfa](120)","Tahta Depolama Sandığı, Korumasız [ddcdfa](120)","不结实的木储藏箱 [ddcdfa](120)","不安全的木儲藏箱 [ddcdfa](120)"
cntIronWritableCrateLarge,blocks,block,,,"Iron Storage Crate [ddcdfa](144)",,"Eisen-Aufbewahrungskiste [ddcdfa](144)","Embalaje de almacenamiento de hierro [ddcdfa](144)","Caisse de rangement en fer [ddcdfa](144)","Cassa di stoccaggio di ferro [ddcdfa](144)","鉄製ストレージ [ddcdfa](144)","철제 보관함 [ddcdfa](144)","Skrzynia na towary – żelazna [ddcdfa](144)","Caixote de deposito de ferro [ddcdfa](144)","Железный складской ящик [ddcdfa](144)","Demir Depolama Sandığı [ddcdfa](144)","铁储藏箱 [ddcdfa](144)","鐵儲藏箱 [ddcdfa](144)"
cntIronWritableCrateInsecureLarge,blocks,block,,,"Iron Storage Crate Insecure [ddcdfa](144)",,"Eisen-Aufbewahrungskiste, unsicher [ddcdfa](144)","Embalaje de almacenamiento de hierro no asegurado [ddcdfa](144)","Caisse de rangement en fer non sécurisée [ddcdfa](144)","Cassa di stoccaggio di ferro pericolante [ddcdfa](144)","鉄製ストレージ　鍵無し [ddcdfa](144)","철제 보관함 잠기지 않음 [ddcdfa](144)","Skrzynia na towary – żelazna, niezabezpieczona [ddcdfa](144)","Caixote inseguro de deposito de ferro [ddcdfa](144)","Ненадежный железный складской ящик [ddcdfa](144)","Demir Depolama Sandığı, Korumasız [ddcdfa](144)","不结实的铁储藏箱 [ddcdfa](144)","不安全的鐵儲藏箱 [ddcdfa](144)"
cntSteelWritableCrateLarge,blocks,block,,,"Steel Storage Crate [ddcdfa](168)",,"Stahl-Aufbewahrungskiste [ddcdfa](168)","Embalaje de almacenamiento de acero [ddcdfa](168)","Caisse de rangement en acier [ddcdfa](168)","Cassa di stoccaggio d'acciaio [ddcdfa](168)","鉄鋼製ストレージ [ddcdfa](168)","강철 보관함 [ddcdfa](168)","Skrzynia na towary – stalowa [ddcdfa](168)","Caixote de deposito de aço [ddcdfa](168)","Стальной складской ящик [ddcdfa](168)","Çelik Depolama Sandığı [ddcdfa](168)","钢储藏箱 [ddcdfa](168)","鋼儲藏箱 [ddcdfa](168)"
cntSteelWritableCrateInsecureLarge,blocks,block,,,"Steel Storage Crate Insecure [ddcdfa](168)",,"Stahl-Aufbewahrungskiste, unsicher [ddcdfa](168)","Embalaje de almacenamiento de acero no asegurado [ddcdfa](168)","Caisse de rangement en acier non sécurisée [ddcdfa](168)","Cassa di stoccaggio d'acciaio pericolante [ddcdfa](168)","鉄鋼製ストレージ（鍵無し） [ddcdfa](168)","강철 보관함 잠기지 않음 [ddcdfa](168)","Skrzynia na towary – żelazna, niezabezpieczona [ddcdfa](168)","Caixote inseguro de deposito de aço [ddcdfa](168)","Ненадежный стальной складской ящик [ddcdfa](168)","Çelik Depolama Sandığı, Korumasız [ddcdfa](168)","不结实的钢储藏箱 [ddcdfa](168)","不安全的鋼儲藏箱 [ddcdfa](168)"
perkPackMuleRank1LongDesc,progression,perk Str,,,"Who has time to organize their stuff perfectly? Carry [DECEA3]7[-] more items without being encumbered.",,"Wer hat schon Zeit, das ganze Zeug schön zu ordnen? Du kannst [DECEA3]7[-] Gegenstände mehr tragen, bevor du überbelastet wirst.","¿Quién tiene tiempo para organizar sus cosas perfectamente? Lleva [DECEA3]7[-] artículos más sin desbordarte.","Qui a le temps de ranger toutes ses affaires à la perfection ? Vous portez [DECEA3]7[-] objets supplémentaires sans souffrir d'encombrement.","Chi ha tempo di organizzare le proprie cose alla perfezione? Trasporta [DECEA3]7[-] oggetti in più senza diventare sovraccarico.","完璧に整理整頓する暇なんて誰にあるのでしょう？動きが阻害されることなく、アイテムを[DECEA3]7[-]つ多く運べる。","자기들 물건을 완벽히 정리할 수 있는 시간을 누가 가졌겠어요? 방해받지 않고 [DECEA3]7[-]개 더 많은 아이템을 소지할 수 있습니다.","Kto niby ma czas na porządki? Noś [DECEA3]7[-] dodatkowe przedmioty bez przeciążenia.","Quem tem tempo para organizar as coisas perfeitamente? Carregue mais [DECEA3]7[-] itens sem ficar sobrecarregado.","У нормальных людей нет времени складывать свои вещи аккуратно. Вы можете нести еще [DECEA3]7[-] предмета без последствий.","Eşyalarını düzenli tutmaya kimin zamanı var ki? Yükün ağır gelmeden [DECEA3]7[-] öğe daha fazla taşı.","谁有时间把自己的东西整理得完美无缺？负重不受影响，再携带[DECEA3]7[-]样东西。","誰有時間把他們他們的東西整理好？再帶[DECEA3]7[-]樣東西而不會負重。"
perkPackMuleRank2LongDesc,progression,perk Str,,,"You know it's in there somewhere. Carry an additional [DECEA3]7[-] more items without being encumbered.",,"Du weißt, dass es irgendwo da drin ist. Du kannst [DECEA3]7[-] weitere Gegenstände tragen, bevor du überbelastet wirst.","Sabes que está en alguna parte. Lleva otros [DECEA3]7[-] artículos más sin desbordarte.","Vous savez bien que ça doit se trouver quelque part là-dedans. Vous portez à nouveau [DECEA3]7[-] objets supplémentaires sans souffrir d'encombrement.","Sai che è lì da qualche parte. Trasporta altri [DECEA3]7[-] oggetti in più senza diventare sovraccarico.","中に入っていることは分かってるんです。動きが阻害されることなく、アイテムをさらに[DECEA3]7[-]つ多く運べる。","저 안에 무언가 있다는 걸 알고 있겠죠. 방해받지 않고 추가로 [DECEA3]7[-]개 더 많은 아이템을 소지할 수 있습니다.","Przed chwilą mignęło mi przed oczami! Możesz nosić dodatkowo [DECEA3]7[-] przedmioty bez przeciążenia.","Você sabe que está em algum lugar aí dentro. Carregue mais [DECEA3]7[-] itens sem ficar sobrecarregado.","Вы знаете, что эта штука где-то здесь. Вы можете нести [DECEA3]7[-] дополнительных предмета без последствий.","Şurada bir yerde olduğundan eminsin. Yükün ağır gelmeden [DECEA3]7[-] öğe daha taşı.","你知道它就在某个地方。负重不受影响，再携带额外[DECEA3]7[-]样东西。","你知道它就在某個地方。再帶[DECEA3]7[-]樣東西而不會負重。"
perkPackMuleRank3LongDesc,progression,perk Str,,,"You know exactly where everything is. Carry [DECEA3]7[-] additional items without being encumbered.",,"Du weißt genau, wo du was findest. Du kannst Du [DECEA3]7[-] Gegenstände mehr tragen, bevor du überbelastet wirst.","Sabes exactamente dónde está todo. Lleve [DECEA3]7[-] artículos adicionales sin ser gravados.","Vous savez où chaque chose est rangée. Vous portez [DECEA3]7[-] objets supplémentaires sans souffrir d'encombrement.","Sai esattamente dove si trova ogni cosa. Trasporta [DECEA3]7[-] oggetti in più senza diventare sovraccarico.","何がどこにあるのかちゃんと把握しています。動きが阻害されることなく、アイテムをさらに[DECEA3]7[-]つ多く運べる。","어디에 무엇이 있는지 정확히 알고 계시군요. 방해받지 않고 추가로 [DECEA3]7[-]개 더 많은 아이템을 소지할 수 있습니다.","Doskonale wiesz, gdzie co jest. Noś [DECEA3]7[-] dodatkowe przedmioty bez przeciążenia.","Você sabe exatamente onde tudo está. Carregue mais [DECEA3]7[-] itens sem ficar sobrecarregado.","Вы отлично знаете, что где лежит. Вы можете нести [DECEA3]7[-] дополнительных предмета без последствий.","Her şeyin yerini iyi biliyorsun. Yükün ağır gelmeden ek [DECEA3]7[-] öğe taşı.","你知道所有东西的确切位置。负重不受影响，再携带额外[DECEA3]7[-]样东西。","你準確知道東西在哪裏。再帶[DECEA3]7[-]樣東西而不會負重。"
perkPackMuleRank4LongDesc,progression,perk Str,,,"You just passed inspection, private. Carry [DECEA3]7[-] more items without being encumbered.",,"Inspektion bestanden, Soldat.  Du kannst [DECEA3]7[-] weitere Gegenstände tragen, bevor du überbelastet wirst.","Acabas de pasar la inspección en privado.  Lleva [DECEA3]7[-] artículos más sin desbordarte.","Vous venez juste de réussir votre inspection privée.  Vous portez [DECEA3]7[-] objets supplémentaires sans souffrir d'encombrement.","Hai passato l'ispezione, soldato.  Trasporta altri [DECEA3]7[-] oggetti senza diventare sovraccarico.","荷物点検に合格しました。動きが阻害されることなく、アイテムを[DECEA3]7[-]つ多く運べる。","방금 개인 검사를 통과했습니다.  방해받지 않고 [DECEA3]7[-]개 더 많은 아이템을 소지할 수 있습니다.","Kontrola przeszła pozytywnie, żołnierzu.  Noś kolejne [DECEA3]7[-] przedmioty bez przeciążenia.","Tudo em ordem.  Carregue mais [DECEA3]7[-] itens sem ficar sobrecarregado.","Вы только что прошли проверку, рядовой.  Вы можете нести еще [DECEA3]7[-] предмета без последствий.","Denetimi başarıyla geçtin asker.  Yükün ağır gelmeden [DECEA3]7[-] öğe daha fazla taşı.","你刚刚通过了私人检查。负重不受影响，再携带[DECEA3]7[-]样东西。","你剛通過私人檢查。再帶[DECEA3]7[-]樣東西而不會負重。"
cntWoodCube,blocks,block,,,"Wood Storage Crate  [ddcdfa](120) - Cube",n/a  [ddcdfa](120) - n/a,"Holz-Aufbewahrungskiste  [ddcdfa](120) - Würfel","Embalaje de almacenamiento de madera  [ddcdfa](120) - Cubo","Caisse de rangement en bois  [ddcdfa](120) - Cube","Cassa di stoccaggio di legno  [ddcdfa](120) - Cubo","木製ストレージ  [ddcdfa](120) - キューブ","목재 보관함  [ddcdfa](120) - 육면체","Skrzynia na towary – drewniana  [ddcdfa](120) - Sześcian","Caixote de deposito de madeira  [ddcdfa](120) - Cubo","Деревянный складской ящик  [ddcdfa](120) - Куб","Tahta Depolama Sandığı  [ddcdfa](120) - Küp","木储藏箱  [ddcdfa](120) - 方块","木儲藏箱  [ddcdfa](120) - 方塊"
cntWoodHalf,blocks,block,,,"Wood Storage Crate  [ddcdfa](120) - Cube Half",n/a  [ddcdfa](120) - ,"Holz-Aufbewahrungskiste  [ddcdfa](120) - 1/2-Würfel","Embalaje de almacenamiento de madera  [ddcdfa](120) - 1/2 cubo","Caisse de rangement en bois  [ddcdfa](120) - 1/2 cube","Cassa di stoccaggio di legno  [ddcdfa](120) - 1/2 cubo","木製ストレージ  [ddcdfa](120) - キューブ1/2","목재 보관함  [ddcdfa](120) - 육면체 1/2","Skrzynia na towary – drewniana  [ddcdfa](120) - Sześcian 1/2","Caixote de deposito de madeira  [ddcdfa](120) - 1/2 cubo","Деревянный складской ящик  [ddcdfa](120) - Куб 1/2","Tahta Depolama Sandığı  [ddcdfa](120) - Küp 1/2","木储藏箱  [ddcdfa](120) - 方块 1/2","木儲藏箱  [ddcdfa](120) - 1/2 方塊"
cntWoodBevel,blocks,block,,,"Wood Storage Crate  [ddcdfa](120) - Cupboard Corner",n/a  [ddcdfa](120) - n/a,"Holz-Aufbewahrungskiste  [ddcdfa](120) - Schrank – Ecke","Embalaje de almacenamiento de madera  [ddcdfa](120) - Esquina de despensa","Caisse de rangement en bois  [ddcdfa](120) - Coin de placard","Cassa di stoccaggio di legno  [ddcdfa](120) - Credenza angolare","木製ストレージ  [ddcdfa](120) - カップボード（コーナー）","목재 보관함  [ddcdfa](120) - 찬장 모서리","Skrzynia na towary – drewniana  [ddcdfa](120) - Kredens – róg","Caixote de deposito de madeira  [ddcdfa](120) - Canto de guarda-louça","Деревянный складской ящик  [ddcdfa](120) - Угловой буфет","Tahta Depolama Sandığı  [ddcdfa](120) - Büfe Köşe","木储藏箱  [ddcdfa](120) - 碗柜 拐角","木儲藏箱  [ddcdfa](120) - 碗櫥轉角"
cntWoodBuffet,blocks,block,,,"Wood Storage Crate  [ddcdfa](120) - Buffet Counter",n/a  [ddcdfa](120) - n/a,"Holz-Aufbewahrungskiste  [ddcdfa](120) - Buffet-Theke","Embalaje de almacenamiento de madera  [ddcdfa](120) - Mostrador de bufet","Caisse de rangement en bois  [ddcdfa](120) - Comptoir de buffet","Cassa di stoccaggio di legno  [ddcdfa](120) - Banco del buffet","木製ストレージ  [ddcdfa](120) - ブッフェ（カウンター）","목재 보관함  [ddcdfa](120) - 뷔페 카운터","Skrzynia na towary – drewniana  [ddcdfa](120) - Lada bufetowa","Caixote de deposito de madeira  [ddcdfa](120) - Balcão de bufê","Деревянный складской ящик  [ddcdfa](120) - Стойка буфета","Tahta Depolama Sandığı  [ddcdfa](120) - Açık Büfe Tezgâhı","木储藏箱  [ddcdfa](120) - 自助餐柜台","木儲藏箱  [ddcdfa](120) - 自助餐櫃檯"
cntWoodSinkRound,blocks,block,,,"Wood Storage Crate  [ddcdfa](120) - Counter Sink Hole Round",n/a  [ddcdfa](120) - n/a,"Holz-Aufbewahrungskiste  [ddcdfa](120) - Eingelassenes Waschbecken – rundes Loch","Embalaje de almacenamiento de madera  [ddcdfa](120) - Fregadero de encimera con hoyo redondo","Caisse de rangement en bois  [ddcdfa](120) - Évier de comptoir, trou rond","Cassa di stoccaggio di legno  [ddcdfa](120) - Lavandino con bancone arrotondato con foro","木製ストレージ  [ddcdfa](120) - カウンター（シンク・穴・丸型）","목재 보관함  [ddcdfa](120) - 카운터 싱크대 구멍 원형","Skrzynia na towary – drewniana  [ddcdfa](120) - Lada – zlew, dziura, okrągła","Caixote de deposito de madeira  [ddcdfa](120) - Buraco de pia de balcão redondo","Деревянный складской ящик  [ddcdfa](120) - Основание для мойки с круглым отверстием","Tahta Depolama Sandığı  [ddcdfa](120) - Tezgah Eviye Deliği Yuvarlak","木储藏箱  [ddcdfa](120) - 柜台 水槽 有洞 圆弧","木儲藏箱  [ddcdfa](120) - 櫃檯盥洗盆圓孔"
cntWoodHollowTop,blocks,block,,,"Wood Storage Crate  [ddcdfa](120) - Counter Hollow Top",n/a  [ddcdfa](120) - n/a,"Holz-Aufbewahrungskiste  [ddcdfa](120) - Theke – hohl, oben","Embalaje de almacenamiento de madera  [ddcdfa](120) - Parte superior de encimera hueca","Caisse de rangement en bois  [ddcdfa](120) - Comptoir creux, haut","Cassa di stoccaggio di legno  [ddcdfa](120) - Parte superiore vuota del banco","木製ストレージ  [ddcdfa](120) - カウンター（中空・上部）","목재 보관함  [ddcdfa](120) - 카운터 비어있음 상단","Skrzynia na towary – drewniana  [ddcdfa](120) - Lada – pusta, góra","Caixote de deposito de madeira  [ddcdfa](120) - Topo oco de balcão","Деревянный складской ящик  [ddcdfa](120) - Верх пустой стойки","Tahta Depolama Sandığı  [ddcdfa](120) - Tezgâh Oyuk Üst","木储藏箱  [ddcdfa](120) - 柜台 中空 顶部","木儲藏箱  [ddcdfa](120) - 櫃檯空心頂部"
